,clave_entidad,entidad_federativa,clave_municipio,mun_name,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob,direccion,lat,long
0,1,Aguascalientes,1001,Aguascalientes,861446.0,26.1,224949.0,1.6,13650.0,24.5,211299.0,26.4,227805.0,11.5,98641.0,36.0,310052.0,11.7,100530.0,15.1,129728.0,36.4,313557.0,3.7,32153.0,3.0,25494.0,18.0,154658.0,52.6,452753.0,7.3,63220.0,37.6,323590.0,10.0,86166.0,"Aguascalientes, Aguascalientes",21.8852562,-102.2915677
1,1,Aguascalientes,1002,Asientos,46624.0,54.0,25169.0,4.4,2067.0,49.5,23101.0,29.0,13544.0,7.7,3577.0,9.3,4335.0,19.8,9244.0,6.0,2788.0,69.0,32175.0,7.8,3633.0,16.2,7553.0,24.7,11494.0,83.0,38713.0,14.1,6594.0,61.7,28745.0,24.4,11394.0,"Asientos, Aguascalientes",22.2384759,-102.0890156
2,1,Aguascalientes,1003,Calvillo,52773.0,56.8,29951.0,3.1,1650.0,53.6,28301.0,27.6,14561.0,6.3,3348.0,9.3,4913.0,23.2,12254.0,9.9,5212.0,73.6,38857.0,5.2,2746.0,7.7,4082.0,17.3,9148.0,84.3,44513.0,10.5,5528.0,63.1,33299.0,26.8,14118.0,"Calvillo, Aguascalientes",21.8468345,-102.7186454
3,1,Aguascalientes,1004,Cosío,15321.0,43.2,6620.0,2.8,432.0,40.4,6187.0,32.7,5004.0,8.0,1232.0,16.1,2466.0,14.7,2251.0,5.5,846.0,62.7,9608.0,7.9,1215.0,7.6,1167.0,20.7,3175.0,75.9,11623.0,9.9,1522.0,51.2,7852.0,16.6,2546.0,"Cosío, Aguascalientes",22.3656529,-102.2997344
4,1,Aguascalientes,1005,Jesús María,125750.0,25.0,31479.0,1.7,2095.0,23.4,29385.0,38.0,47831.0,6.6,8314.0,30.3,38126.0,17.3,21712.0,15.2,19076.0,45.0,56595.0,8.2,10303.0,6.3,7977.0,18.7,23562.0,63.1,79310.0,11.3,14225.0,31.6,39794.0,7.9,9984.0,"Jesús María, Aguascalientes",21.9635744,-102.3441041
5,1,Aguascalientes,1006,Pabellón de Arteaga,45733.0,34.9,15972.0,2.2,1005.0,32.7,14966.0,30.2,13802.0,10.5,4823.0,24.4,11137.0,15.3,7008.0,10.5,4821.0,49.8,22778.0,5.8,2651.0,5.8,2669.0,19.4,8852.0,65.1,29773.0,9.2,4186.0,45.5,20794.0,13.8,6305.0,"Pabellón de Arteaga, Aguascalientes",22.144474,-102.274822
6,1,Aguascalientes,1007,Rincón de Romos,50895.0,50.1,25483.0,3.3,1660.0,46.8,23824.0,23.2,11833.0,9.9,5014.0,16.8,8565.0,14.6,7427.0,10.3,5265.0,60.8,30964.0,7.8,3979.0,7.7,3895.0,22.7,11533.0,73.3,37316.0,10.6,5373.0,59.9,30498.0,22.9,11671.0,"Rincón de Romos, Aguascalientes",22.2289132,-102.3206187
7,1,Aguascalientes,1008,San José de Gracia,8768.0,59.6,5228.0,5.3,464.0,54.3,4764.0,22.2,1945.0,4.4,388.0,13.8,1206.0,15.3,1340.0,5.2,459.0,74.7,6551.0,6.8,594.0,8.6,752.0,20.9,1832.0,81.8,7173.0,10.1,882.0,64.1,5616.0,28.2,2475.0,"San José de Gracia, Aguascalientes",22.1475929,-102.4129804
8,1,Aguascalientes,1009,Tepezalá,20484.0,50.7,10378.0,3.1,643.0,47.5,9735.0,31.2,6393.0,7.1,1447.0,11.1,2266.0,20.8,4258.0,8.3,1690.0,68.2,13965.0,6.1,1257.0,10.5,2142.0,21.4,4391.0,81.9,16771.0,11.2,2299.0,57.7,11825.0,21.0,4305.0,"Tepezalá, Aguascalientes",22.2241419,-102.1738022
9,1,Aguascalientes,1010,El Llano,19955.0,55.1,10988.0,5.3,1064.0,49.7,9924.0,26.0,5181.0,8.2,1627.0,10.8,2158.0,19.7,3922.0,9.1,1819.0,63.8,12724.0,8.2,1631.0,17.1,3416.0,24.8,4939.0,81.0,16170.0,14.4,2883.0,63.2,12615.0,26.3,5249.0,"El Llano, Aguascalientes",21.91787,-101.9639918
