sistema,num_cicloe,calle_prin,calle_secu,colonia,alcaldia,latitud,longitud,sitio_de_e,estatus
Ecobici,1,Río Sena,Río Balsas,Cuauhtémoc,Cuauhtémoc,19.4335895,-99.1678193,Arroyo,Instalada
Ecobici,2,Río Guadalquivir,Río Nazas,Cuauhtémoc,Cuauhtémoc,19.43062276,-99.17123066,Arroyo,Instalada
Ecobici,3,Reforma,Insurgentes,Tabacalera,Cuauhtémoc,19.43163,-99.158547,Banqueta,Instalada
Ecobici,4,Río Nilo,Río Pánuco,Cuauhtémoc,Cuauhtémoc,19.428491,-99.171693,Arroyo,Instalada
Ecobici,5,Río Pánuco,Río Tíber,Cuauhtémoc,Cuauhtémoc,19.429804,-99.169451,Arroyo,Instalada
Ecobici,6,Río Pánuco,Río Sena,Cuauhtémoc,Cuauhtémoc,19.430963,-99.166986,Arroyo,Instalada
Ecobici,7,Río Elba,Río Lerma,Cuauhtémoc,Cuauhtémoc,19.425355,-99.17515,Arroyo,Instalada
Ecobici,8,Reforma,General Prim,Tabacalera,Cuauhtémoc,19.431256,-99.158153,Banqueta,Instalada
Ecobici,9,Río Guadalquivir,Río Lerma,Cuauhtémoc,Cuauhtémoc,19.428184,-99.170013,Arroyo,Instalada
Ecobici,10,Reforma,Ramírez,Tabacalera,Cuauhtémoc,19.433431,-99.155142,Banqueta,Instalada
Ecobici,11,Río Amazonas,Río Lerma,Cuauhtémoc,Cuauhtémoc,19.431192,-99.163546,Arroyo,Instalada
Ecobici,12,Río Lerma,Villalongín,Cuauhtémoc,Cuauhtémoc,19.432223,-99.161686,Arroyo,Instalada
Ecobici,13,Reforma,Río Mississippi,Cuauhtémoc,Cuauhtémoc,19.424941,-99.17233,Banqueta,Instalada
Ecobici,14,Reforma,Río de la Plata,Cuauhtémoc,Cuauhtémoc,19.42454,-99.173247,Banqueta,Instalada
Ecobici,15,Reforma,Río Mississippi,Cuauhtémoc,Cuauhtémoc,19.425597,-99.171409,Banqueta,Instalada
Ecobici,16,Reforma,Río Tíber,Cuauhtémoc,Cuauhtémoc,19.4267528,-99.16861944,Banqueta,Instalada
Ecobici,17,Reforma,Río Tíber,Cuauhtémoc,Cuauhtémoc,19.427553,-99.167396,Banqueta,Instalada
Ecobici,18,Reforma,Río Rhin,Cuauhtémoc,Cuauhtémoc,19.428802,-99.164381,Banqueta,Instalada
Ecobici,19,Reforma,Río Rhin,Cuauhtémoc,Cuauhtémoc,19.429453,-99.16283,Banqueta,Instalada
Ecobici,20,Reforma,Río Támesis,Cuauhtémoc,Cuauhtémoc,19.430907,-99.160148,Banqueta,Instalada
Ecobici,21,Reforma,Dublín,Juárez,Cuauhtémoc,19.424784,-99.172119,Banqueta,Instalada
