,address,districtName,id,location,name,nearbyStations,lat,lon
1,443 - Bruno Trave-Avenida México-Coyoacan,Ampliación Granada,443,"{'lat': 19.359655, 'lon': -99.162025}",443 BRUNO TRAVEN-GOLONDRINAS,"[432, 442, 444]",19.359655,-99.162025
2,416 - Recreo-Parroquía,Ampliación Granada,416,"{'lat': 19.371308, 'lon': -99.177607}",416 RECREO-PARROQUÍA,"[390, 391, 415]",19.371308,-99.177607
3,437 - Moras-Comunal,Ampliación Granada,437,"{'lat': 19.36480833, 'lon': -99.17602222}",437 MORAS-COMUNAL,"[423, 436, 438]",19.36480833,-99.17602222
4,438 - Adolfo Prieto-José María Olloqui,Ampliación Granada,438,"{'lat': 19.36479722, 'lon': -99.17458333}",438 ADOLFO PRIETO-JOSÉ MARÍA OLLOQUI,"[434, 435, 437]",19.36479722,-99.17458333
5,440 - Real De Mayorazgo-Puente Xoco,Ampliación Granada,440,"{'lat': 19.36065, 'lon': -99.168669}",440 REAL DE MAYORAZGO-PUENTE XOCO,"[433, 439, 441]",19.36065,-99.168669
6,347 - Pennsylvania-Maximino Avila Camacho,Ampliación Granada,347,"{'lat': 19.384378, 'lon': -99.176097}",347 PENNSYLVANIA-MAXIMINO AVILA CAMACHO,"[334, 346, 348]",19.384378,-99.176097
7,350 - Jose Clemente Orozco-Correggio,Ampliación Granada,350,"{'lat': 19.384062, 'lon': -99.181482}",350 JOSE CLEMENTE OROZCO-CORREGGIO,"[349, 352]",19.384062,-99.181482
8,356 - Matias Romero -Adolfo Prieto,Ampliación Granada,356,"{'lat': 19.381292, 'lon': -99.170171}",356 MATIAS ROMERO -ADOLFO PRIETO,"[355, 357, 372]",19.381292,-99.170171
9,361 - Porfirio Díaz-Av. Insurgentes,Ampliación Granada,361,"{'lat': 19.3804457, 'lon': -99.1762233}",361 PORFIRIO DÍAZ-AV. INSURGENTES,"[369, 370]",19.3804457,-99.1762233
10,368 - Porfirio Díaz-Cincinatti,Ampliación Granada,368,"{'lat': 19.379246, 'lon': -99.179344}",368 PORFIRIO DÍAZ-CINCINATTI ,"[366, 367, 369]",19.379246,-99.179344
11,369 - Porfirio Díaz-Av. Insurgentes,Ampliación Granada,369,"{'lat': 19.379884, 'lon': -99.177478}",369 PORFIRIO DÍAZ-AV. INSURGENTES,"[367, 368]",19.379884,-99.177478
12,372 - Dr. Roberto Gayol-Tlacoquemecatl,Ampliación Granada,372,"{'lat': 19.37797, 'lon': -99.170289}",372 DR. ROBERTO GAYOL-TLACOQUEMECATL,"[373, 378, 379]",19.37797,-99.170289
